"","Ho","Hs","Ht","Dst","Htp","Dstp","Fst","Fstp","Fis","Dest"
"X13495_18",0.0938,0.0889,0.0913,0.0024,0.0938,0.0048,0.0265,0.0517,-0.0545,0.0053
"X13499_12",0.1667,0.2507,0.3198,0.0691,0.3889,0.1382,0.2161,0.3554,0.3351,0.1845
"X13503_23",0.1,0.0934,0.0967,0.0033,0.1,0.0066,0.0343,0.0663,-0.071,0.0073
"X13514_29",0.3299,0.2796,0.2804,8e-04,0.2812,0.0016,0.0029,0.0058,-0.1797,0.0023
"X13520_24",0.1667,0.1436,0.1551,0.0115,0.1667,0.0231,0.0744,0.1386,-0.1608,0.027
"X13521_10",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X13527_27",0.0833,0.0798,0.0816,0.0017,0.0833,0.0035,0.0214,0.042,-0.0438,0.0038
"X13528_18",0.1838,0.2581,0.2688,0.0106,0.2794,0.0213,0.0396,0.0761,0.2879,0.0287
"X13544_24",0.0882,0.0836,0.0859,0.0023,0.0882,0.0047,0.0271,0.0527,-0.0556,0.0051
"X13546_7",0.15,0.198,0.224,0.026,0.25,0.052,0.116,0.2078,0.2426,0.0648
"X20850_24",0.0882,0.0836,0.0859,0.0023,0.0882,0.0047,0.0271,0.0527,-0.0556,0.0051
"X13533_15",0.3944,0.3267,0.3217,-0.005,0.3167,-0.01,-0.0156,-0.0317,-0.2073,-0.0149
"X13535_40",0.0357,0.103,0.1051,0.0021,0.1071,0.0042,0.0199,0.0391,0.6531,0.0047
"X13540_35",0.0625,0.2024,0.2262,0.0238,0.25,0.0476,0.1053,0.1906,0.6911,0.0597
"X13541_18",0.0778,0.2293,0.2466,0.0173,0.2639,0.0346,0.0701,0.131,0.6608,0.0449
"X20857_41",0,0,0.5,0.5,1,1,1,1,NA,1
"X13568_24",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X13573_21",0.0882,0.0836,0.0859,0.0023,0.0882,0.0047,0.0271,0.0527,-0.0556,0.0051
"X20859_8",0.2589,0.3323,0.3894,0.057,0.4464,0.1141,0.1465,0.2555,0.2209,0.1709
"X13575_34",0.0312,0.0316,0.0314,-2e-04,0.0312,-3e-04,-0.0051,-0.0102,0.0101,-3e-04
"X13579_28",0.1027,0.1627,0.1573,-0.0055,0.1518,-0.0109,-0.0348,-0.0721,0.369,-0.0131
"X13793_27",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X13797_8",0.0357,0.0362,0.036,-3e-04,0.0357,-5e-04,-0.0074,-0.0149,0.0146,-6e-04
"X13796_12",0.2404,0.466,0.5119,0.0458,0.5577,0.0917,0.0895,0.1643,0.4842,0.1717
"X13815_10",0.2,0.222,0.4943,0.2724,0.7667,0.5447,0.551,0.7105,0.0989,0.7001
"X20912_14",0.0833,0.0799,0.0816,0.0017,0.0833,0.0034,0.0211,0.0413,-0.0431,0.0037
"X13633_16",0.2167,0.2371,0.2486,0.0114,0.26,0.0229,0.046,0.088,0.0863,0.03
"X13634_10",0.1333,0.1203,0.1268,0.0065,0.1333,0.013,0.0513,0.0976,-0.1081,0.0148
"X13734_16",0.3987,0.4351,0.4921,0.057,0.549,0.1139,0.1158,0.2075,0.0836,0.2017
"X13763_21",0.3353,0.3088,0.3221,0.0132,0.3353,0.0265,0.0411,0.0789,-0.0857,0.0383
"X13790_14",0.2222,0.2338,0.2835,0.0498,0.3333,0.0996,0.1756,0.2987,0.0493,0.13
"X13583_26",0.2333,0.1845,0.4756,0.2911,0.7667,0.5821,0.612,0.7593,-0.2644,0.7139
"X13615_9",0.2,0.1655,0.4827,0.3173,0.8,0.6345,0.6573,0.7932,-0.2088,0.7603
"X13620_9",0.1333,0.1287,0.1269,-0.0019,0.125,-0.0037,-0.0146,-0.0297,-0.0359,-0.0043
"X13621_14",0.325,0.3659,0.4705,0.1045,0.575,0.2091,0.2222,0.3636,0.1118,0.3298
"X13663_20",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X20887_17",0.0294,0.0861,0.0872,0.0011,0.0882,0.0021,0.0121,0.024,0.6585,0.0023
"X13680_24",0.05,0.1063,0.1031,-0.0031,0.1,-0.0063,-0.0305,-0.0629,0.5296,-0.007
"X13683_35",0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
"X13689_36",0.1,0.0934,0.0967,0.0033,0.1,0.0066,0.0343,0.0663,-0.071,0.0073
"X13698_28",0.0667,0.123,0.1282,0.0052,0.1333,0.0103,0.0402,0.0773,0.4581,0.0117
"X13702_10",0.2778,0.2601,0.3801,0.1199,0.5,0.2399,0.3156,0.4798,-0.068,0.3242
"X13703_23",0.6188,0.4794,0.4741,-0.0053,0.4687,-0.0107,-0.0112,-0.0227,-0.2907,-0.0205
"X13706_36",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X13718_13",0.1667,0.2543,0.3216,0.0673,0.3889,0.1346,0.2093,0.3462,0.3445,0.1805
"X13728_20",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X13733_6",0.05,0.3232,0.3894,0.0662,0.4556,0.1324,0.17,0.2906,0.8453,0.1956
"X13735_35",0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
"X13740_30",0.0556,0.2571,0.4341,0.177,0.6111,0.354,0.4077,0.5792,0.784,0.4765
"X13741_11",0.05,0.1374,0.1437,0.0063,0.15,0.0126,0.0437,0.0837,0.6362,0.0146
"X13748_25",0.05,0.0494,0.0497,3e-04,0.05,6e-04,0.0061,0.012,-0.0122,6e-04
"X13751_41",0.0794,0.0792,0.0778,-0.0014,0.0765,-0.0027,-0.0174,-0.0355,-0.0029,-0.0029
"X13754_8",0.0294,0.0861,0.0872,0.0011,0.0882,0.0021,0.0121,0.024,0.6585,0.0023
"X13766_39",0.05,0.0499,0.0499,1e-04,0.05,1e-04,0.0013,0.0025,-0.0025,1e-04
"X13769_36",0,0.0572,0.0564,-8e-04,0.0556,-0.0017,-0.0149,-0.0303,1,-0.0018
"X13789_12",0.0385,0.0387,0.0386,-1e-04,0.0385,-2e-04,-0.0032,-0.0063,0.0063,-3e-04
"X20908_32",0.101,0.1006,0.0984,-0.0022,0.0962,-0.0045,-0.0228,-0.0467,-0.0032,-0.005
"X13791_8",0.1571,0.5023,0.4851,-0.0172,0.4679,-0.0345,-0.0355,-0.0737,0.6872,-0.0693
"X20910_29",0.0556,0.0548,0.0552,4e-04,0.0556,8e-04,0.0072,0.0143,-0.0145,8e-04
"X13822_18",0.0625,0.1351,0.1301,-0.0051,0.125,-0.0101,-0.0389,-0.081,0.5375,-0.0117
"X13825_40",0.5,0.4975,0.5057,0.0082,0.5139,0.0164,0.0162,0.032,-0.0051,0.0327
"X13580_20",0.1056,0.1541,0.1521,-0.0021,0.15,-0.0041,-0.0136,-0.0277,0.3152,-0.0049
"X13586_13",0.0278,0.0817,0.0825,8e-04,0.0833,0.0017,0.0101,0.0201,0.6598,0.0018
"X13590_32",0.1429,0.1272,0.4922,0.365,0.8571,0.7299,0.7415,0.8516,-0.1228,0.8363
"X13592_37",0.1429,0.14,0.1363,-0.0037,0.1327,-0.0073,-0.0269,-0.0554,-0.0204,-0.0085
"X20867_24",0.0625,0.0617,0.0621,4e-04,0.0625,8e-04,0.0067,0.0134,-0.0136,9e-04
"X13601_35",0.3794,0.2618,0.4515,0.1897,0.6412,0.3794,0.4202,0.5917,-0.4494,0.5139
"X13603_36",0.0588,0.1102,0.1139,0.0037,0.1176,0.0074,0.0326,0.0631,0.4663,0.0083
"X13604_35",0.0278,0.0821,0.0827,6e-04,0.0833,0.0013,0.0076,0.0152,0.6615,0.0014
"X13610_7",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X13830_17",0.2,0.2203,0.2602,0.0398,0.3,0.0797,0.1532,0.2656,0.0922,0.1022
"X13880_36",0.0833,0.0807,0.082,0.0013,0.0833,0.0026,0.0159,0.0312,-0.0323,0.0028
"X13917_17",0.05,0.0494,0.0497,3e-04,0.05,6e-04,0.0061,0.012,-0.0122,6e-04
"X13920_40",0.3761,0.4609,0.4484,-0.0125,0.4359,-0.025,-0.0279,-0.0573,0.184,-0.0464
"X20920_32",0.0625,0.061,0.0618,7e-04,0.0625,0.0015,0.012,0.0238,-0.0244,0.0016
"X13864_20",0.05,0.0494,0.0497,3e-04,0.05,6e-04,0.0056,0.0112,-0.0113,6e-04
"X13869_26",0.0556,0.1048,0.1079,0.0032,0.1111,0.0064,0.0295,0.0572,0.4696,0.0071
"X13868_28",0,0.0619,0.0587,-0.0032,0.0556,-0.0064,-0.0543,-0.1148,1,-0.0068
"X13871_17",0.0882,0.0836,0.0859,0.0023,0.0882,0.0047,0.0271,0.0527,-0.0556,0.0051
"X13872_36",0.0278,0.0817,0.0825,8e-04,0.0833,0.0017,0.0101,0.0201,0.6598,0.0018
"X20927_36",0,0.1204,0.1227,0.0023,0.125,0.0046,0.0186,0.0364,1,0.0052
"X13878_7",0.1,0.0934,0.0967,0.0033,0.1,0.0066,0.0343,0.0663,-0.071,0.0073
"X20931_21",0.0625,0.0617,0.0621,4e-04,0.0625,8e-04,0.0063,0.0124,-0.0126,8e-04
"X13883_16",0.1794,0.1618,0.1662,0.0044,0.1706,0.0088,0.0265,0.0517,-0.1091,0.0105
"X20932_31",0.1222,0.1785,0.1763,-0.0022,0.1741,-0.0044,-0.0124,-0.0252,0.3151,-0.0053
"X13886_30",0.0278,0.0817,0.0825,8e-04,0.0833,0.0017,0.0101,0.0201,0.6598,0.0018
"X13887_25",0,0.0569,0.0562,-7e-04,0.0556,-0.0013,-0.0119,-0.0241,1,-0.0014
"X13889_18",0.125,0.1135,0.1193,0.0057,0.125,0.0115,0.0481,0.0918,-0.1011,0.0129
"X13888_16",0.0588,0.0578,0.0583,5e-04,0.0588,0.0011,0.009,0.0179,-0.0182,0.0011
"X13891_41",0,0.119,0.122,0.003,0.125,0.006,0.0244,0.0476,1,0.0068
"X13896_13",0.2333,0.3178,0.3607,0.043,0.4037,0.086,0.1191,0.2129,0.2657,0.126
"X13899_19",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X13900_34",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X13904_18",0.2562,0.4339,0.4576,0.0237,0.4812,0.0474,0.0518,0.0985,0.4094,0.0837
"X13903_9",0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
"X13921_24",0.2088,0.3249,0.3198,-0.0051,0.3147,-0.0102,-0.016,-0.0325,0.3574,-0.0152
"X13926_39",0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
"X13928_9",0.0882,0.0836,0.0859,0.0023,0.0882,0.0047,0.0271,0.0527,-0.0556,0.0051
"X13929_35",0.0312,0.0316,0.0314,-2e-04,0.0312,-3e-04,-0.0051,-0.0102,0.0101,-3e-04
"X13932_11",0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
"X13936_14",0.4062,0.4908,0.5013,0.0104,0.5117,0.0209,0.0208,0.0408,0.1723,0.041
"X13940_16",0.1471,0.1299,0.1385,0.0086,0.1471,0.0171,0.0619,0.1166,-0.132,0.0197
"X13945_7",0.0588,0.1102,0.1139,0.0037,0.1176,0.0074,0.0326,0.0631,0.4663,0.0083
"X13833_10",0.3333,0.2879,0.2828,-0.0051,0.2778,-0.0101,-0.0179,-0.0364,-0.1579,-0.0142
"X20919_15",0.0938,0.0883,0.091,0.0027,0.0937,0.0054,0.0298,0.0578,-0.0614,0.0059
"X13849_38",0.0588,0.0576,0.0582,6e-04,0.0588,0.0012,0.0105,0.0208,-0.0212,0.0013
"X13853_18",0.1,0.2633,0.3483,0.085,0.4333,0.17,0.244,0.3923,0.6203,0.2308
"X13854_18",0.1,0.2633,0.3483,0.085,0.4333,0.17,0.244,0.3923,0.6203,0.2308
"X13954_8",0.1111,0.1027,0.1069,0.0042,0.1111,0.0084,0.0394,0.0758,-0.082,0.0094
"X20944_31",0.0312,0.0319,0.0316,-3e-04,0.0312,-7e-04,-0.0111,-0.0224,0.0219,-7e-04
"X13969_15",0.2971,0.3033,0.2987,-0.0046,0.2941,-0.0092,-0.0153,-0.0312,0.0205,-0.0132
"X13973_10",0.05,0.1361,0.1431,0.0069,0.15,0.0139,0.0484,0.0924,0.6327,0.016
"X20947_16",0.0294,0.0298,0.0296,-2e-04,0.0294,-4e-04,-0.0071,-0.0143,0.0141,-4e-04
"X13984_10",0.2222,0.3014,0.3285,0.0271,0.3556,0.0542,0.0825,0.1524,0.2626,0.0776
"X13978_14",0.0278,0.0283,0.028,-3e-04,0.0278,-5e-04,-0.0095,-0.0191,0.0187,-5e-04
"X13990_8",0.1,0.0934,0.0967,0.0033,0.1,0.0066,0.0343,0.0663,-0.071,0.0073
"X13994_31",0.0882,0.0836,0.0859,0.0023,0.0882,0.0047,0.0271,0.0527,-0.0556,0.0051
"X14000_11",0.1389,0.1238,0.4925,0.3686,0.8611,0.7373,0.7486,0.8562,-0.1216,0.8415
"X13992_39",0.0625,0.061,0.0618,7e-04,0.0625,0.0015,0.012,0.0238,-0.0244,0.0016
"X14062_39",0.0312,0.0911,0.0924,0.0013,0.0937,0.0027,0.0144,0.0283,0.6569,0.0029
"X14065_16",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X14081_10",0.3,0.2151,0.4575,0.2425,0.7,0.4849,0.53,0.6928,-0.395,0.6178
"X14084_25",0.3559,0.4261,0.4189,-0.0071,0.4118,-0.0143,-0.0171,-0.0347,0.1647,-0.0249
"X14085_21",0.1389,0.1238,0.1314,0.0075,0.1389,0.0151,0.0573,0.1084,-0.1216,0.0172
"X14090_29",0.1,0.2564,0.3282,0.0718,0.4,0.1436,0.2188,0.359,0.61,0.1931
"X14092_17",0.0278,0.1292,0.134,0.0048,0.1389,0.0097,0.0361,0.0697,0.785,0.0111
"X14014_35",0.2278,0.2474,0.2793,0.0319,0.3111,0.0637,0.1141,0.2048,0.0793,0.0847
"X14020_36",0.0556,0.0547,0.0551,4e-04,0.0556,8e-04,0.0076,0.0152,-0.0154,9e-04
"X14028_31",0.1278,0.175,0.1709,-0.0042,0.1667,-0.0084,-0.0245,-0.0502,0.27,-0.0101
"X14029_19",0.0312,0.1429,0.1496,0.0067,0.1562,0.0134,0.0447,0.0856,0.7813,0.0156
"X14031_24",0.0312,0.0316,0.0314,-2e-04,0.0312,-3e-04,-0.0051,-0.0102,0.0101,-3e-04
"X14033_16",0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
"X14042_18",0.0556,0.1048,0.1079,0.0032,0.1111,0.0064,0.0295,0.0572,0.4696,0.0071
"X20964_17",0.0357,0.0362,0.036,-3e-04,0.0357,-5e-04,-0.0074,-0.0149,0.0146,-6e-04
"X14052_29",0.1111,0.1459,0.1563,0.0104,0.1667,0.0207,0.0664,0.1245,0.2385,0.0243
"X14053_13",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X14172_30",0.1389,0.2644,0.3683,0.1039,0.4722,0.2078,0.2821,0.4401,0.4747,0.2825
"X14227_33",0.0833,0.2022,0.2261,0.0239,0.25,0.0478,0.1057,0.1911,0.5879,0.0599
"X14137_38",0.0312,0.0316,0.0314,-2e-04,0.0312,-3e-04,-0.0051,-0.0102,0.0101,-3e-04
"X14139_22",0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
"X14150_17",0.15,0.1319,0.141,0.009,0.15,0.0181,0.0641,0.1205,-0.137,0.0208
"X14164_31",0.0357,0.036,0.0359,-1e-04,0.0357,-3e-04,-0.0039,-0.0078,0.0078,-3e-04
"X14176_24",0.0667,0.1243,0.1288,0.0045,0.1333,0.0091,0.0352,0.068,0.4635,0.0103
"X14178_26",0.0625,0.0612,0.0618,7e-04,0.0625,0.0013,0.0106,0.0209,-0.0214,0.0014
"X14185_13",0.35,0.4068,0.4984,0.0916,0.59,0.1832,0.1838,0.3105,0.1397,0.3088
"X14189_28",0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
"X21000_32",0,0.0784,0.0776,-7e-04,0.0769,-0.0015,-0.0093,-0.0189,1,-0.0016
"X14196_8",0.0417,0.042,0.0418,-2e-04,0.0417,-3e-04,-0.0038,-0.0077,0.0076,-3e-04
"X14199_36",0.1,0.0935,0.0968,0.0032,0.1,0.0065,0.0334,0.0646,-0.0691,0.0071
"X14200_41",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X14206_30",0.1429,0.2612,0.4163,0.1551,0.5714,0.3103,0.3727,0.543,0.453,0.4199
"X14208_22",0,0.0616,0.0602,-0.0014,0.0588,-0.0027,-0.0228,-0.0467,1,-0.0029
"X14214_28",0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
"X14215_25",0.1,0.1711,0.1856,0.0144,0.2,0.0289,0.0779,0.1445,0.4155,0.0349
"X14226_28",0.085,0.179,0.1827,0.0036,0.1863,0.0072,0.0198,0.0388,0.5254,0.0088
"X14235_34",0.1714,0.1629,0.16,-0.0029,0.1571,-0.0058,-0.0181,-0.0369,-0.0521,-0.0069
"X14238_31",0.0714,0.0694,0.0704,0.001,0.0714,0.002,0.0144,0.0284,-0.0292,0.0022
"X14129_32",0.1056,0.1039,0.102,-0.002,0.1,-0.0039,-0.0194,-0.0395,-0.0155,-0.0044
"X20985_37",0.05,0.0494,0.0497,3e-04,0.05,6e-04,0.0056,0.0112,-0.0113,6e-04
"X14143_40",0.05,0.0494,0.0497,3e-04,0.05,6e-04,0.0061,0.012,-0.0122,6e-04
"X20987_26",0.0312,0.0911,0.0924,0.0013,0.0937,0.0027,0.0144,0.0283,0.6569,0.0029
"X14159_16",0.2188,0.1763,0.1975,0.0212,0.2187,0.0424,0.1073,0.1939,-0.2405,0.0515
"X14244_21",0.4471,0.3864,0.3844,-0.002,0.3824,-0.0041,-0.0053,-0.0107,-0.1569,-0.0066
"X14246_41",0.2333,0.2771,0.4848,0.2077,0.6926,0.4155,0.4285,0.5999,0.1579,0.5748
"X14249_21",0.1,0.0934,0.0967,0.0033,0.1,0.0066,0.0343,0.0663,-0.071,0.0073
"X14253_37",0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
"X14254_21",0.1667,0.1443,0.1555,0.0112,0.1667,0.0224,0.0719,0.1341,-0.1549,0.0261
"X21018_16",0.0909,0.0866,0.0887,0.0022,0.0909,0.0043,0.0245,0.0477,-0.0501,0.0048
"X14262_40",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X14265_36",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X21020_33",0.0588,0.0578,0.0583,5e-04,0.0588,0.0011,0.009,0.0179,-0.0182,0.0011
"X14277_16",0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
"X14280_20",0.2611,0.2778,0.2723,-0.0056,0.2667,-0.0112,-0.0205,-0.0419,0.0602,-0.0155
"X14286_25",0.15,0.1319,0.141,0.009,0.15,0.0181,0.0641,0.1205,-0.137,0.0208
"X14296_40",0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
"X14508_38",0.25,0.194,0.222,0.028,0.25,0.056,0.1262,0.2241,-0.2889,0.0695
"X14514_27",0.3833,0.3168,0.5017,0.1849,0.6867,0.3698,0.3686,0.5386,-0.2099,0.5414
"X14529_41",0.0588,0.1553,0.1659,0.0106,0.1765,0.0211,0.0637,0.1198,0.6213,0.025
"X14369_37",0.2188,0.2142,0.2477,0.0335,0.2812,0.0671,0.1354,0.2386,-0.0215,0.0854
"X14443_27",0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
"X21056_11",0.0714,0.3218,0.349,0.0272,0.3762,0.0544,0.078,0.1446,0.778,0.0802
"X14452_30",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X14460_29",0.1,0.1693,0.1846,0.0154,0.2,0.0307,0.0832,0.1536,0.4093,0.037
"X14470_29",0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
"X21059_12",0.0625,0.1163,0.1206,0.0044,0.125,0.0087,0.0361,0.0697,0.4625,0.0099
"X14474_30",0.1667,0.1436,0.1551,0.0115,0.1667,0.0231,0.0744,0.1386,-0.1608,0.027
"X14493_26",0.0882,0.0836,0.0859,0.0023,0.0882,0.0047,0.0271,0.0527,-0.0556,0.0051
"X14498_22",0,0.1529,0.1598,0.0069,0.1667,0.0138,0.0431,0.0826,1,0.0162
"X14506_10",0.0294,0.0297,0.0296,-2e-04,0.0294,-3e-04,-0.0056,-0.0112,0.0111,-3e-04
"X14526_19",0,0.0569,0.0562,-7e-04,0.0556,-0.0013,-0.0119,-0.0241,1,-0.0014
"X14305_17",0.0882,0.0836,0.0859,0.0023,0.0882,0.0047,0.0271,0.0527,-0.0556,0.0051
"X21025_36",0,0.0605,0.0597,-8e-04,0.0588,-0.0017,-0.0141,-0.0286,1,-0.0018
"X14312_7",0.1583,0.2985,0.2993,7e-04,0.3,0.0015,0.0025,0.0049,0.4696,0.0021
"X14314_29",0.2167,0.2298,0.4899,0.2601,0.75,0.5202,0.5309,0.6936,0.0571,0.6754
"X14318_10",0.2889,0.3208,0.3201,-7e-04,0.3194,-0.0014,-0.0021,-0.0043,0.0995,-0.002
"X14351_29",0.0357,0.036,0.0359,-1e-04,0.0357,-3e-04,-0.0039,-0.0078,0.0078,-3e-04
"X14353_23",0.0588,0.0576,0.0582,6e-04,0.0588,0.0012,0.0105,0.0208,-0.0212,0.0013
"X21035_40",0.2833,0.268,0.474,0.206,0.68,0.412,0.4346,0.6058,-0.0571,0.5628
"X14357_19",0.2222,0.2328,0.2831,0.0503,0.3333,0.1005,0.1776,0.3016,0.0454,0.1311
"X14373_27",0.05,0.0494,0.0497,3e-04,0.05,6e-04,0.0061,0.012,-0.0122,6e-04
"X14375_34",0.1071,0.0996,0.1034,0.0038,0.1071,0.0075,0.0364,0.0703,-0.0756,0.0084
"X14380_33",0.0938,0.0883,0.091,0.0027,0.0937,0.0054,0.0298,0.0578,-0.0614,0.0059
"X14383_31",0.0625,0.2554,0.3152,0.0598,0.375,0.1196,0.1897,0.319,0.7553,0.1606
"X14382_27",0.1111,0.2129,0.2453,0.0325,0.2778,0.0649,0.1323,0.2337,0.478,0.0825
"X14389_16",0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
"X14392_12",0.0294,0.0303,0.0299,-4e-04,0.0294,-9e-04,-0.015,-0.0304,0.0295,-9e-04
"X14393_9",0.0588,0.0578,0.0583,5e-04,0.0588,0.0011,0.009,0.0179,-0.0182,0.0011
"X14398_32",0.2,0.1873,0.1836,-0.0036,0.18,-0.0073,-0.0198,-0.0404,-0.068,-0.0089
"X21045_19",0.1364,0.123,0.1297,0.0067,0.1364,0.0134,0.0515,0.098,-0.1086,0.0152
"X14401_9",0.1562,0.2163,0.2488,0.0325,0.2812,0.0649,0.1304,0.2308,0.2778,0.0828
"X14402_35",0.1667,0.1436,0.1551,0.0115,0.1667,0.0231,0.0744,0.1386,-0.1608,0.027
"X14406_31",0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
"X14410_35",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X14416_14",0.3,0.2597,0.3799,0.1201,0.5,0.2403,0.3163,0.4806,-0.1552,0.3246
"X14538_21",0.0882,0.0836,0.0859,0.0023,0.0882,0.0047,0.0271,0.0527,-0.0556,0.0051
"X14545_40",0,0.0978,0.0989,0.0011,0.1,0.0022,0.0113,0.0224,1,0.0025
"X14553_36",0.0833,0.1262,0.1325,0.0064,0.1389,0.0127,0.048,0.0916,0.3395,0.0146
"X14559_27",0.2778,0.2332,0.2431,0.01,0.2531,0.0199,0.041,0.0787,-0.1913,0.026
"X14626_11",0,0.0569,0.0562,-7e-04,0.0556,-0.0013,-0.0119,-0.0241,1,-0.0014
"X14629_28",0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
"X14630_19",0.0278,0.0817,0.0825,8e-04,0.0833,0.0017,0.0101,0.0201,0.6598,0.0018
"X14640_12",0.0588,0.1102,0.1139,0.0037,0.1176,0.0074,0.0326,0.0631,0.4663,0.0083
"X14647_20",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X14653_11",0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
"X14669_19",0.2222,0.2595,0.352,0.0925,0.4444,0.1849,0.2627,0.4161,0.1437,0.2497
"X14672_8",0.0938,0.1819,0.2003,0.0184,0.2188,0.0369,0.0921,0.1686,0.4845,0.0451
"X14674_21",0.3051,0.4726,0.4587,-0.0139,0.4449,-0.0278,-0.0303,-0.0625,0.3544,-0.0527
"X14673_23",0.1111,0.1835,0.4806,0.2971,0.7778,0.5943,0.6182,0.7641,0.3945,0.7278
"X14677_29",0,0.0647,0.0636,-0.0011,0.0625,-0.0022,-0.0169,-0.0345,1,-0.0023
"X14676_37",0.0556,0.1048,0.1079,0.0032,0.1111,0.0064,0.0295,0.0572,0.4696,0.0071
"X14684_14",0.1333,0.12,0.1267,0.0067,0.1333,0.0133,0.0526,0.1,-0.1111,0.0152
"X14605_40",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X14608_13",0.2176,0.2838,0.286,0.0022,0.2882,0.0044,0.0077,0.0153,0.2332,0.0062
"X14615_33",0.317,0.3627,0.4085,0.0458,0.4542,0.0916,0.1121,0.2016,0.1259,0.1437
"X14616_32",0,0.0569,0.0562,-7e-04,0.0556,-0.0013,-0.0119,-0.0241,1,-0.0014
"X14617_26",0.1611,0.1953,0.4977,0.3023,0.8,0.6047,0.6075,0.7559,0.1751,0.7515
"X14633_11",0.0357,0.036,0.0359,-1e-04,0.0357,-3e-04,-0.0039,-0.0078,0.0078,-3e-04
"X14638_13",0.2357,0.3791,0.3753,-0.0038,0.3714,-0.0076,-0.0102,-0.0206,0.3782,-0.0123
"X24288_17",0.0833,0.0801,0.0817,0.0016,0.0833,0.0032,0.0196,0.0385,-0.04,0.0035
"X14689_31",0.4575,0.3643,0.3586,-0.0057,0.3529,-0.0113,-0.0158,-0.0321,-0.2559,-0.0178
"X21093_26",0,0.0779,0.0774,-5e-04,0.0769,-0.001,-0.0063,-0.0127,1,-0.0011
"X14691_23",0.2083,0.2005,0.194,-0.0065,0.1875,-0.013,-0.0335,-0.0692,-0.0392,-0.0162
"X14693_36",0.1833,0.3356,0.3261,-0.0095,0.3167,-0.0189,-0.029,-0.0598,0.4537,-0.0285
"X21097_27",0.25,0.2366,0.2933,0.0567,0.35,0.1134,0.1934,0.3241,-0.0568,0.1486
